time,X,Y,Theta
0.0,0.16,0.2,0.00917805
0.0,0.2,0.2,0.006028995
0.0,0.24,0.2,0.0028967597
0.0,0.28,0.2,-0.00014241412
0.0,0.32,0.2,-0.003008481
0.0,0.36,0.2,-0.0056291223
0.0,0.4,0.2,-0.007928163
0.0,0.44,0.2,-0.009826049
0.0,0.48,0.2,-0.011241794
0.0,0.52,0.2,-0.012093179
0.0,0.56,0.2,-0.012296401
0.0,0.6,0.2,-0.01176291
0.0,0.64,0.2,-0.010391392
0.0,0.68,0.2,-0.008075394
0.0,0.72,0.2,-0.0047151
0.0,0.76,0.2,-0.00020565838
0.0,0.8,0.2,0.005590249
0.0,0.84,0.2,0.012808047
0.0,0.88,0.2,0.021546446
0.0,0.92,0.2,0.03184262
0.0,0.96,0.2,0.043496825
0.0,1.0,0.2,0.05623237
0.0,0.0,0.24,0.020160042
0.0,0.04,0.24,0.017635517
0.0,0.08,0.24,0.014868826
0.0,0.12,0.24,0.011913121
0.0,0.16,0.24,0.008824889
0.0,0.2,0.24,0.005674977
0.0,0.24,0.24,0.0025427267
0.0,0.28,0.24,-0.0004884675
0.0,0.32,0.24,-0.003347505
0.0,0.36,0.24,-0.005962707
0.0,0.4,0.24,-0.008258473
0.0,0.44,0.24,-0.010155626
0.0,0.48,0.24,-0.011573195
0.0,0.52,0.24,-0.012428135
0.0,0.56,0.24,-0.012631513
0.0,0.6,0.24,-0.01209683
0.0,0.64,0.24,-0.010727249
0.0,0.68,0.24,-0.008416902
0.0,0.72,0.24,-0.0050654225
0.0,0.76,0.24,-0.0005662106
0.0,0.8,0.24,0.0052178875
0.0,0.84,0.24,0.012416579
0.0,0.88,0.24,0.021139108
0.0,0.92,0.24,0.031434387
0.0,0.96,0.24,0.043139473
0.0,1.0,0.24,0.05594042
0.0,0.0,0.28,0.019826636
0.0,0.04,0.28,0.017292839
0.0,0.08,0.28,0.014526967
0.0,0.12,0.28,0.011575814
0.0,0.16,0.28,0.008489493
0.0,0.2,0.28,0.005338747
0.0,0.24,0.28,0.0022055618
0.0,0.28,0.28,-0.0008237362
0.0,0.32,0.28,-0.0036754534
0.0,0.36,0.28,-0.006284982
0.0,0.4,0.28,-0.008576572
0.0,0.44,0.28,-0.01047188
0.0,0.48,0.28,-0.011890158
0.0,0.52,0.28,-0.012749121
0.0,0.56,0.28,-0.012958296
0.0,0.6,0.28,-0.012430817
0.0,0.64,0.28,-0.011066332
0.0,0.68,0.28,-0.008760452
0.0,0.72,0.28,-0.005416427
0.0,0.76,0.28,-0.00092532486
0.0,0.8,0.28,0.0048482493
0.0,0.84,0.28,0.012029737
0.0,0.88,0.28,0.02073457
0.0,0.92,0.28,0.031028768
0.0,0.96,0.28,0.042774197
0.0,1.0,0.28,0.05564215
0.0,0.0,0.32,0.019494697
0.0,0.04,0.32,0.016962841
0.0,0.08,0.32,0.014202405
0.0,0.12,0.32,0.011256475
0.0,0.16,0.32,0.00817116
0.0,0.2,0.32,0.005020112
0.0,0.24,0.32,0.0018872172
0.0,0.28,0.32,-0.0011422113
0.0,0.32,0.32,-0.0039915405
0.0,0.36,0.32,-0.006594695
0.0,0.4,0.32,-0.008881815
0.0,0.44,0.32,-0.010774672
0.0,0.48,0.32,-0.012193263
0.0,0.52,0.32,-0.013054654
0.0,0.56,0.32,-0.013270244
0.0,0.6,0.32,-0.012748949
0.0,0.64,0.32,-0.011394493
0.0,0.68,0.32,-0.009101629
0.0,0.72,0.32,-0.005768098
0.0,0.76,0.32,-0.0012833029
0.0,0.8,0.32,0.0044813715
0.0,0.84,0.32,0.011647269
